date,day,boo,workout,boo,boo,weight
06-Feb-19, Wednesday, Abs cardio,Abs cardio,,,
08-Feb-19, Friday, Run cardio,Run cardio,78,6,78.6
10-Feb-19, Sunday, Bicep tricep,Bicep tricep,,,
11-Feb-19, Monday, Shoulder,Shoulder,,,
12-Feb-19, Tuesday, Chest,Chest,,,
13-Feb-19, Wednesday, Abs cardio,Abs cardio,,,
15-Feb-19, Friday, Back,Back,78,6,78.6
17-Feb-19, Sunday, Bicep tricep,Bicep tricep,,,
19-Feb-19, Tuesday, Chest,Chest,,,
20-Feb-19, Wednesday, Abs cardio,Abs cardio,,,
21-Feb-19, Thursday, Shoulder,Shoulder,,,
22-Feb-19, Friday, Run cardio,Run cardio,77,4,77.4
24-Feb-19, Sunday, Cycle cardio,Cycle cardio,,,
26-Feb-19, Tuesday, Run cardio,Run cardio,,,
27-Feb-19, Wednesday, Abs cardio,Abs cardio,,,
28-Feb-19, Thursday, Back,Back,77,0,77
02-Mar-19, Saturday, Run cardio,Run cardio,,,
05-Mar-19, Tuesday, Chest,Chest,,,
06-Mar-19, Wednesday, Run cardio,Run cardio,,,
08-Mar-19, Friday, Back,Back,77,0,77
09-Mar-19, Saturday, Run cardio,Run cardio,,,
11-Mar-19, Monday, Shoulder,Shoulder,,,
13-Mar-19, Wednesday, Bicep tricep,Bicep tricep,,,
15-Mar-19, Friday, Run cardio,Run cardio,76,6,76.6
17-Mar-19, Sunday, Back,Back,,,
18-Mar-19, Monday, Abs cardio,Abs cardio,,,
20-Mar-19, Wednesday, Chest,Chest,,,
21-Mar-19, Thursday, Bicep tricep,Bicep tricep,,,
22-Mar-19, Friday, Run cardio,Run cardio,77,0,77
23-Mar-19, Saturday, Back,Back,,,
26-Mar-19, Tuesday, Shoulder,Shoulder,,,
27-Mar-19, Wednesday, Abs cardio,Abs cardio,,,
28-Mar-19, Thursday, Chest,Chest,,,
29-Mar-19, Friday, Run cardio,Run cardio,76,4,76.4
31-Mar-19, Sunday, Cycle cardio,Cycle cardio,,,
01-Apr-19, Monday, Back,Back,,,
02-Apr-19, Tuesday, Shoulder,Shoulder,,,
04-Apr-19, Thursday, Run cardio,Run cardio,,,
05-Apr-19, Friday, Chest,Chest,76,5,76.5
08-Apr-19, Monday, Abs cardio,Abs cardio,,,
09-Apr-19, Tuesday, Shoulder,Shoulder,,,
10-Apr-19, Wednesday, Run cardio,Run cardio,,,
11-Apr-19, Thursday, Back ,Back,76,5,76.5
14-Apr-19, Sunday, Run cardio,Run cardio,,,
15-Apr-19, Monday, Chest,Chest,,,
16-Apr-19, Tuesday, Abs cardio,Abs cardio,,,
17-Apr-19, Wednesday, Shoulder,Shoulder,,,
19-Apr-19, Friday, Cycle cardio,Cycle cardio,75,6,75.6
21-Apr-19, Sunday, Run cardio,Run cardio,,,
22-Apr-19, Monday, Back,Back,,,
25-Apr-19, Thursday, Run cardio,Run cardio,,,
27-Apr-19, Saturday, Back,Back,,,
29-Apr-19, Monday, Cycle cardio,Cycle cardio,,,
02-May-19, Thursday, Run cardio,Run cardio,,,
10-May-19, Friday, Run cardio,Run cardio,,,
11-May-19, Saturday, Cycle cardio,Cycle cardio,,,
12-May-19, Sunday, Abs cardio,Abs cardio,,,
13-May-19, Monday, Chest,Chest,,,
15-May-19, Wednesday, Back,Back,,,
17-May-19, Friday, Shoulder,Shoulder,77,1,77.1
19-May-19, Sunday, Chest,Chest,,,
20-May-19, Monday, Abs tricep,Abs tricep,,,
22-May-19, Wednesday, Back,Back,,,
24-May-19, Friday, Shoulder,Shoulder,77,3,77.3
28-May-19, Tuesday, Abs cardio,Abs cardio,,,
29-May-19, Wednesday, Chest,Chest,,,
30-May-19, Thursday, Run cardio ,Run cardio,77,2,77.2
02-Jun-19, Sunday, Back,Back,,,
03-Jun-19, Monday, Run cardio,Run cardio,,,
04-Jun-19, Tuesday, Bicep tricep,Bicep tricep,,,
06-Jun-19, Thursday, Chest,Chest,,,
07-Jun-19, Friday, Abs cardio,Abs cardio,76,8,76.8
09-Jun-19, Sunday, Shoulder,Shoulder,,,
10-Jun-19, Monday, Run cardio,Run cardio,,,
11-Jun-19, Tuesday, Back,Back,,,
14-Jun-19, Friday, Chest,Chest,76,8,76.8
15-Jun-19, Saturday, Run cardio,Run cardio,,,
17-Jun-19, Monday, Abs cardio,Abs cardio,,,
19-Jun-19, Wednesday, Bicep tricep,Bicep tricep,,,
20-Jun-19, Thursday, Run cardio,Run cardio,,,
21-Jun-19, Friday, Back,Back,77,2,77.2
22-Jun-19, Saturday, Run cardio,Run cardio,,,
26-Jun-19, Wednesday, Run cardio,Run cardio,,,
27-Jun-19, Thursday, Chest,Chest,,,
28-Jun-19, Friday, Bicep tricep,Bicep tricep,76,7,76.7
01-Jul-19, Monday, Back,Back,,,
